domain,marque_nom,marque_description,url
mobiliis,Mobilis by OPT-NC,"Lancée en 1996, la marque de téléphonie mobile connaît un grand succès depuis plus de 25 ans puisqu’elle accompagne les Calédoniens dans leurs nouveaux usages numériques en leur proposant des offres et services comprenant de la voix (appels), des SMS, de la DATA (Internet mobile)… « Mobilis » est d’ailleurs devenu un nom commun sur le territoire pour désigner un téléphone mobile ou portable.",https://mobilis.nc/
1012,1012.nc,1012.nc est le site des annuaires officiels de l’OPT-NC regroupant les professionnels et particuliers en Nouvelle-Calédonie. Il propose également un annuaire inversé permettant de retrouver l’émetteur d’un appel via son numéro. . Les Calédoniens peuvent également contacter le 1012 par téléphone pour obtenir les renseignements téléphoniques.,https://www.1012.nc/
ccp,CCP.NC,CCP.NC est le site des services financiers de l’OPT-NC permettant aux clients de consulter et gérer leurs comptes 24h/24 et 7j/7 en un clic.,https://www.ccp.nc/
mobitag,Mobitag,"Mobitag.nc est un service gratuit d'envoi de SMS depuis un ordinateur, réservé aux particuliers et à destination des mobiles de Nouvelle-Calédonie.",http://www.mobitag.nc/
opt,opt.nc,Site institutionnel de l'OPT-NC,https://www.opt.nc/
opt,Calédoscope by OPT-NC,"Calédoscope est la marque philatélique de l’OPT-NC, dont les produits sont disponibles à l’Agence philatélique se trouvant au sein même de l’Agence principale rue Porcheron, à Nouméa.",https://caledoscope.opt.nc/fr
opt,Mon Espace,Mon Espace courrier et colis,https://monespace.opt.nc
opt,Portail Insttutionnel,https://maf.opt.nc/,https://office.opt.nc
opt,Portail MAF,Portail MAF,https://maf.opt.nc/
philatelie,,Philatélie,
opt-nc,,,
timbre,,,
pret-a-poster,,,
lettre,,,
colis,,,
ems,,,
facteur,,,
boite-postale,,,
boitepostale,,,
recommande,,,
colispostal,,,
boutiqueopt,,,
